Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
ENTPD8	"NTPDase-8, UNQ2492"	ENSG00000188833	"Ectonucleoside triphosphate diphosphohydrolase 8"	Q5MY95	9	137434364-137441816	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"		Hydrolase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"intestine: 26.9;liver: 14.1;stomach 1: 8.6"	"Group enriched"	"Detected in some"	5	"Distal enterocytes: 116.9;Intestinal goblet cells: 222.4;Paneth cells: 59.7;Proximal enterocytes: 148.0"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in some"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"colorectal cancer: 5.2"	"Colon - Colon enterocytes, Liver - Hepatocytes"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA021509	Enhanced		Approved	Nucleoplasm,Vesicles,Cytosol			NA	NA				"Cluster 37: Liver & Intestine - Lipid metabolism"	"Cluster 15: Non-specific - Transcription"	"Cluster 32: Non-specific - Cell proliferation"	"Cluster 16: Intestinal goblet cells - Mucin production"		"Nucleoplasm, Cytosol"	Vesicles	"HPA021509: AB_1848185"	"unprognostic (3.85e-2)"	"unprognostic (8.33e-2)"	"unprognostic (2.11e-1)"	"unprognostic (1.82e-1)"	"unprognostic (1.30e-1)"	"unprognostic (1.40e-1)"	"unprognostic (6.46e-3)"	"unprognostic (8.70e-2)"	"unprognostic (3.87e-2)"	"unprognostic (8.48e-2)"	"unprognostic (1.69e-1)"	"unprognostic (2.34e-2)"	"unprognostic (1.08e-5)"	"prognostic favorable (7.17e-4)"	"unprognostic (2.17e-1)"	"unprognostic (1.15e-1)"	"unprognostic (1.78e-1)"
EP300	"KAT3B, p300"	ENSG00000100393	"E1A binding protein p300"	Q09472	22	41092592-41180077	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Biological rhythms, Cell cycle, Host-virus interaction, Transcription, Transcription regulation"	"Acyltransferase, Transferase"	"Cancer-related genes, Disease variant, Intellectual disability"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in some"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB000146, HPA003128, HPA004112"	Supported		Enhanced	Nucleoplasm			NA	NA			"Cluster 20: Non-specific - DNA binding"	"Cluster 40: Non-specific - Transcription"	"Cluster 16: Non-specific - Transcription"	"Cluster 66: Non-specific - Mitochondria"	"Cluster 55: Non-specific - Transcription"	34	Nucleoplasm		"CAB000146: AB_2533138, HPA003128: AB_1078745, HPA004112: AB_1078746"	"unprognostic (7.67e-2)"	"unprognostic (5.56e-2)"	"unprognostic (2.29e-1)"	"unprognostic (2.52e-1)"	"unprognostic (6.10e-3)"	"unprognostic (1.66e-1)"	"unprognostic (2.21e-2)"	"unprognostic (2.13e-1)"	"unprognostic (1.54e-1)"	"unprognostic (8.97e-2)"	"unprognostic (1.74e-2)"	"unprognostic (8.54e-2)"	"prognostic favorable (7.45e-5)"	"unprognostic (7.97e-2)"	"unprognostic (1.41e-1)"	"unprognostic (1.01e-1)"	"unprognostic (8.66e-2)"
EPS8L2	"FLJ21935, FLJ22171, MGC3088"	ENSG00000177106	"EPS8 like 2"	Q9H6S3	11	694438-727727	"Disease related genes, Human disease related genes, Predicted intracellular proteins"			"Deafness, Non-syndromic deafness"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"esophagus: 183.1"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 1: 164.6;Distal enterocytes: 140.0;Proximal enterocytes: 212.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in single"		"plasmacytoid DC: 1.4"	"Low lineage specificity"	"Detected in single"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipose progenitor cells, Breast - Breast glandular cells, Lung - Alveolar cells type 1, Skeletal muscle - Fibroblasts, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in many"			"Region enriched"	"Detected in some"	10	"cerebellum: 12.2"	HPA041143	Approved		Supported	Centrosome,Cytosol			NA	NA				"Cluster 75: Epithelium - Extracellular exosomes"	"Cluster 44: Non-specific - Mixed function"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 59: Suprabasal keratinocytes - Cornification"	5	"Centrosome, Cytosol"		"HPA041143: AB_10794985"	"unprognostic (1.39e-2)"	"unprognostic (1.07e-1)"	"unprognostic (7.58e-2)"	"unprognostic (3.40e-2)"	"prognostic unfavorable (2.31e-4)"	"unprognostic (6.87e-2)"	"unprognostic (3.27e-2)"	"unprognostic (1.33e-1)"	"unprognostic (4.82e-2)"	"unprognostic (4.26e-2)"	"unprognostic (2.54e-1)"	"unprognostic (1.92e-1)"	"unprognostic (3.25e-2)"	"unprognostic (2.51e-2)"	"unprognostic (4.19e-1)"	"unprognostic (2.79e-1)"	"unprognostic (5.03e-2)"
ERAL1	HERA-B	ENSG00000132591	"Era like 12S mitochondrial rRNA chaperone 1"	O75616	17	28855010-28861061	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Ribosome biogenesis"	"RNA-binding, rRNA-binding"	"Deafness, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Cytotrophoblasts: 70.6"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA021425, HPA024423"	Supported		Enhanced	Mitochondria,Cytosol			NA	NA			"Cluster 13: Non-specific - Mitochondria"	"Cluster 23: Non-specific - Cellular respiration"	"Cluster 27: Non-specific - Mixed function"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 24: Cytotrophoblasts - Mitochondria"	5	Mitochondria	Cytosol	"HPA021425: AB_1848228, HPA024423: AB_1848229"	"unprognostic (1.03e-1)"	"unprognostic (9.16e-2)"	"unprognostic (5.36e-2)"	"unprognostic (1.77e-2)"	"unprognostic (3.55e-1)"	"unprognostic (8.37e-3)"	"prognostic unfavorable (3.59e-4)"	"unprognostic (8.20e-2)"	"unprognostic (7.04e-2)"	"unprognostic (2.70e-1)"	"unprognostic (8.57e-3)"	"unprognostic (5.76e-1)"	"unprognostic (1.08e-1)"	"unprognostic (1.18e-1)"	"unprognostic (2.49e-1)"	"unprognostic (2.62e-1)"	"unprognostic (5.79e-2)"
ERAP1	"A-LAP, ARTS-1, ERAAP1, KIAA0525, PILS-AP"	ENSG00000164307	"Endoplasmic reticulum aminopeptidase 1"	Q9NZ08	5	96760810-96808100	"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Adaptive immunity, Immunity"	"Aminopeptidase, Hydrolase, Metalloprotease, Protease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 70.3;Inhibitory neurons: 76.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB025095, HPA042317"	Approved		Approved	"Nucleoplasm,Plasma membrane,Cytosol"	"Secreted to blood"	Immunity	NA	NA		30000000	"Cluster 1: T-cells - Unknown function"	"Cluster 25: Small intestine - Absorption"	"Cluster 30: White matter - Myelination"	"Cluster 31: Non-specific - Antiviral immune response"	"Cluster 15: Non-specific - Mixed function"		"Nucleoplasm, Cytosol"	"Plasma membrane"	"CAB025095: , HPA042317: AB_2677946"	"unprognostic (2.33e-3)"	"unprognostic (3.45e-1)"	"unprognostic (1.84e-3)"	"unprognostic (1.34e-1)"	"unprognostic (1.86e-1)"	"unprognostic (4.38e-1)"	"unprognostic (1.88e-3)"	"unprognostic (5.37e-2)"	"unprognostic (1.45e-1)"	"unprognostic (7.94e-2)"	"unprognostic (4.52e-2)"	"unprognostic (3.23e-1)"	"unprognostic (7.09e-2)"	"unprognostic (1.36e-1)"	"unprognostic (3.93e-2)"	"unprognostic (1.19e-1)"	"unprognostic (5.14e-2)"
ERC1	"CAST2, ELKS, KIAA1081, MGC12974, RAB6IP2"	ENSG00000082805	"ELKS/RAB6-interacting/CAST family member 1"	Q8IUD2	12	990509-1495933	"Cancer-related genes, Disease related genes, Predicted intracellular proteins"	"Protein transport, Transport"		"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 282.0;Inhibitory neurons: 466.3;Microglial cells: 204.0;Oligodendrocyte precursor cells: 216.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Prostate - Smooth muscle cells, Testis - Spermatogonia, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA019513, HPA019523, HPA024130"	Approved		Supported	"Vesicles,Plasma membrane,Cytosol"			NA	NA			"Cluster 22: Eosinophils - Transcription"	"Cluster 65: Cerebellum - Nervous system development"	"Cluster 25: Non-specific - Transcription"	"Cluster 38: Non-specific - Transcription"	"Cluster 69: Neurons - Neuronal signaling"	2	Cytosol	"Vesicles, Plasma membrane"	"HPA019513: AB_1856012, HPA019523: AB_1856013, HPA024130: AB_1856014"	"unprognostic (2.41e-1)"	"unprognostic (4.00e-2)"	"unprognostic (2.14e-1)"	"unprognostic (5.70e-2)"	"unprognostic (2.81e-1)"	"unprognostic (1.32e-1)"	"unprognostic (5.50e-2)"	"unprognostic (8.49e-2)"	"unprognostic (2.53e-1)"	"unprognostic (3.26e-2)"	"unprognostic (1.04e-1)"	"unprognostic (6.79e-2)"	"unprognostic (3.75e-3)"	"unprognostic (4.19e-2)"	"unprognostic (3.01e-1)"	"unprognostic (7.37e-2)"	"prognostic unfavorable (7.01e-4)"
ERCC5	"ERCM2, XPGC"	ENSG00000134899	"ERCC excision repair 5, endonuclease"	P28715	13	102845831-102875995	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"DNA damage, DNA repair"	"DNA-binding, Endonuclease, Hydrolase, Nuclease"	"Cancer-related genes, Cockayne syndrome, Deafness, Disease variant, Dwarfism, Xeroderma pigmentosum"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Gastric mucus-secreting cells: 23.6;NK-cells: 19.0;T-cells: 23.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA045845, HPA050374"	Supported		Supported	Nucleoplasm			NA	NA			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 55: Kidney & Intestine - Metabolism"	"Cluster 6: Non-specific - Immune response"	"Cluster 19: Non-specific - Unknown function"	"Cluster 7: T-cells - T-cell receptor"	1	Nucleoplasm		"HPA045845: AB_2679471, HPA050374: AB_2681106"	"unprognostic (1.28e-3)"	"unprognostic (1.32e-3)"	"unprognostic (1.86e-2)"	"unprognostic (9.28e-3)"	"unprognostic (6.19e-2)"	"unprognostic (8.73e-2)"	"unprognostic (1.23e-1)"	"unprognostic (8.72e-2)"	"unprognostic (2.52e-1)"	"unprognostic (2.55e-1)"	"unprognostic (7.77e-3)"	"unprognostic (5.76e-3)"	"prognostic unfavorable (2.96e-6)"	"unprognostic (3.56e-2)"	"unprognostic (1.56e-1)"	"unprognostic (1.67e-1)"	"prognostic favorable (6.82e-4)"
ERLEC1	"C2orf30, CL25084, ERLECTIN, XTP3-B, XTP3TPB"	ENSG00000068912	"Endoplasmic reticulum lectin 1"	Q96DZ1	2	53787009-53833038	"Predicted intracellular proteins, Transporters"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Plasma cells: 440.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids, Testis - Spermatocytes, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA031501, HPA031502, HPA031503"	Enhanced				"Intracellular and membrane"	"No annotated function"	NA	NA			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 68: Non-specific - Protein processing"	"Cluster 23: Choroid plexus - Mixed function"	"Cluster 63: Non-specific - Protein processing"	"Cluster 77: Plasma cells - Protein processing"				"HPA031501: AB_10600104, HPA031502: AB_10602174, HPA031503: AB_10670425"	"unprognostic (1.27e-2)"	"unprognostic (3.36e-3)"	"unprognostic (3.17e-1)"	"unprognostic (1.97e-3)"	"unprognostic (1.08e-2)"	"unprognostic (1.86e-1)"	"unprognostic (3.27e-3)"	"unprognostic (3.79e-1)"	"unprognostic (1.29e-1)"	"unprognostic (2.95e-2)"	"unprognostic (1.82e-1)"	"unprognostic (1.92e-1)"	"unprognostic (4.71e-2)"	"unprognostic (1.47e-1)"	"unprognostic (8.13e-2)"	"unprognostic (2.33e-2)"	"unprognostic (3.92e-2)"
ERN1	"IRE1, IRE1P"	ENSG00000178607	"Endoplasmic reticulum to nucleus signaling 1"	O75460	17	64039080-64130819	"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Apoptosis, Transcription, Transcription regulation, Unfolded protein response"	"Hydrolase, Kinase, Multifunctional enzyme, Serine/threonine-protein kinase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"adrenal gland: 51.3;pancreas: 64.7"	"Cell type enhanced"	"Detected in many"		"dendritic cells: 245.5;monocytes: 264.9;Plasma cells: 316.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"basophil: 17.9"	"Group enriched"	"Detected in many"	5	"dendritic cells: 7.7;granulocytes: 17.9;T-cells: 9.0"	"Cancer enriched"	"Detected in all"	8	"Myeloma: 91.4"	"Thyroid - T-cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB009495, HPA027730"	Supported						NA	Yes			"Cluster 41: Basophils - Unknown function"	"Cluster 68: Non-specific - Protein processing"	"Cluster 48: Non-specific - Mixed function"	"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 77: Plasma cells - Protein processing"	4			"CAB009495: AB_2098712, HPA027730: AB_10602494"	"unprognostic (2.52e-1)"	"unprognostic (1.16e-2)"	"unprognostic (1.89e-1)"	"unprognostic (4.05e-3)"	"unprognostic (3.63e-2)"	"unprognostic (2.81e-2)"	"unprognostic (9.14e-2)"	"unprognostic (2.72e-2)"	"unprognostic (4.55e-1)"	"unprognostic (6.17e-2)"	"unprognostic (2.95e-1)"	"unprognostic (1.33e-1)"	"prognostic unfavorable (1.68e-4)"	"unprognostic (4.65e-1)"	"unprognostic (1.89e-1)"	"unprognostic (1.36e-2)"	"unprognostic (3.11e-2)"
ESS2	"bis1, DGCR13, DGCR14, DGS-H, DGSI, ES2, Es2el, ESS-2"	ENSG00000100056	"Ess-2 splicing factor homolog"	Q96DF8	22	19130279-19144684	"Human disease related genes, Predicted intracellular proteins"	"mRNA processing, mRNA splicing"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 4.8"	"Cell type enriched"	"Detected in all"	8	"Late spermatids: 2398.4"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA001221, HPA001222"	Enhanced		Approved	Nucleoplasm			NA	NA				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 15: Non-specific - Transcription"	"Cluster 66: Non-specific - Mitochondria"	"Cluster 63: Late spermatids - Spermatogenesis"	10	Nucleoplasm		"HPA001221: AB_1078645, HPA001222: AB_1078647"	"unprognostic (8.31e-2)"	"unprognostic (1.81e-3)"	"unprognostic (2.26e-1)"	"unprognostic (2.83e-1)"	"unprognostic (5.75e-3)"	"unprognostic (4.70e-2)"	"unprognostic (2.43e-2)"	"unprognostic (6.64e-2)"	"unprognostic (2.33e-1)"	"unprognostic (1.27e-1)"	"unprognostic (3.41e-2)"	"unprognostic (1.05e-1)"	"unprognostic (1.70e-1)"	"unprognostic (5.89e-2)"	"unprognostic (9.36e-2)"	"unprognostic (3.04e-2)"	"unprognostic (1.71e-3)"
EVL	RNB6	ENSG00000196405	Enah/Vasp-like	Q9UI08	14	99971449-100144236	"Plasma proteins, Predicted intracellular proteins"		Actin-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Cone photoreceptor cells: 346.6;NK-cells: 405.4;Rod photoreceptor cells: 410.9;T-cells: 362.2"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Cancer enhanced"	"Detected in all"		"Leukemia: 149.1"	"Thyroid - T-cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA018849, HPA019536, CAB033987"	Enhanced		Approved	Vesicles,Cytosol			NA	NA			"Cluster 19: Eosinophils - Unknown function"	"Cluster 16: Non-specific - Transcription"	"Cluster 53: Neurons - Mixed function"	"Cluster 59: Leukemia - T-cell receptor"	"Cluster 19: NK-cells - Adaptive immune response"	3	"Vesicles, Cytosol"		"CAB033987: AB_2101264, HPA018849: AB_1848310, HPA019536: AB_2670180"	"unprognostic (1.12e-3)"	"unprognostic (5.03e-3)"	"unprognostic (6.46e-3)"	"unprognostic (2.70e-1)"	"unprognostic (2.65e-1)"	"unprognostic (2.27e-3)"	"unprognostic (3.65e-2)"	"unprognostic (2.35e-1)"	"unprognostic (2.06e-1)"	"unprognostic (6.35e-3)"	"prognostic favorable (4.07e-6)"	"unprognostic (3.50e-3)"	"prognostic unfavorable (4.14e-6)"	"unprognostic (7.97e-2)"	"unprognostic (1.58e-1)"	"unprognostic (8.69e-3)"	"unprognostic (2.43e-1)"
FABP1	L-FABP	ENSG00000163586	"Fatty acid binding protein 1"	P07148	2	88122982-88128062	"Cancer-related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	Transport		"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	13	"intestine: 5302.5;liver: 12622.4"	"Cell type enhanced"	"Detected in some"		"Distal enterocytes: 32960.0;Hepatocytes: 8556.6;Paneth cells: 7388.8;Proximal enterocytes: 18313.5"	"Group enriched"	"Detected in many"	14	"colorectal cancer: 175.1;liver cancer: 437.4"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Bile duct cancer: 408.0;colorectal cancer: 909.1;liver cancer: 309.9"	"Colon - Colon enterocytes, Kidney - Proximal tubular cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in single"			"CAB002305, HPA028275"	Enhanced		Approved	Nucleoplasm,Cytosol			NA	NA		45000000		"Cluster 37: Liver & Intestine - Lipid metabolism"		"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 5: Enterocytes - Absorption"		"Nucleoplasm, Cytosol"		"CAB002305: AB_563728, HPA028275: AB_10600909"			"unprognostic (1.91e-1)"		"unprognostic (7.91e-3)"		"unprognostic (5.47e-2)"			"unprognostic (1.96e-1)"	"unprognostic (2.03e-2)"		"unprognostic (2.35e-1)"	"unprognostic (7.99e-2)"	"unprognostic (8.92e-2)"	"unprognostic (2.29e-1)"	
