riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs6946352-G	4E-6	-	0.045	2.4	-	-	BZW2	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST90020070	7:16666924	35232999	"Garcia-Etxebarria K"
rs10119004-G	8E-6	-	0.543	0.7	-	-	JAK2	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST90020070	9:5071049	35232999	"Garcia-Etxebarria K"
rs1826333-C	1E-5	-	0.721	1.4	-	-	HSP90AA2P,CBX3P1	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST90020070	11:27829084	35232999	"Garcia-Etxebarria K"
rs2806899-A	2E-6	-	0.622	0.7	-	-	SIAH3,ZC3H13	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST90020070	13:45909380	35232999	"Garcia-Etxebarria K"
rs1998136-A	6E-7	-	0.188	0.5	-	-	TC2N	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST90020070	14:91814331	35232999	"Garcia-Etxebarria K"
rs2816958-G	4E-10	(EA)	0.89	1.1040689	-	-	NR5A2	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	1:200132792	26192919	"Liu JZ"
rs314313-G	4E-10	(EA)	0.3043	1.0688285	-	[1.05-1.09]	EPHB4	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	7:100825743	26192919	"Liu JZ"
rs13204742-A	5E-10	(EA)	0.1267	1.0959492	-	[1.07-1.12]	PTPRK,THEMIS	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	6:127924620	26192919	"Liu JZ"
rs1847472-C	7E-10	(EA)	0.66	1.0695955	-	-	BACH2	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	6:90263440	26192919	"Liu JZ"
rs3853824-G	8E-10	(EA)	0.64	1.0661255	-	-	C17orf67	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	17:56803632	26192919	"Liu JZ"
rs254560-A	9E-10	(EA)	0.4024	1.0634166	-	[1.04-1.08]	PITX1-AS1	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	5:135107916	26192919	"Liu JZ"
rs6651252-A	9E-10	(EA)	0.87	1.095103	-	-	LINC00824	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	8:128554935	26192919	"Liu JZ"
rs1182188-A	1E-9	(EA)	0.7	1.068123	-	-	GNA12	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	7:2830351	26192919	"Liu JZ"
rs3184504-?	1E-9	(EA)	NR	-	-	-	ATXN2,SH2B3	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	12:111446804	26192919	"Liu JZ"
rs561722-G	2E-9	(EA)	0.66	1.0666672	-	-	NXPE1,NXPE2P1	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	11:114516108	26192919	"Liu JZ"
rs17207042-?	2E-9	(EA)	NR	-	-	-	CD226	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	18:69870115	26192919	"Liu JZ"
rs11681525-G	2E-9	(EA)	0.91	1.1134332	-	-	TEX41	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	2:144734815	26192919	"Liu JZ"
rs7555082-A	3E-9	(EA)	0.1069	1.1006883	-	[1.07-1.13]	PTPRC,ATP6V1G3	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	1:198629533	26192919	"Liu JZ"
rs1535-?	3E-9	(EA)	NR	-	-	-	FADS2	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	11:61830500	26192919	"Liu JZ"
rs915286-A	3E-9	(EA)	0.55	1.0604076	-	-	LINC00598	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	13:40121855	26192919	"Liu JZ"
rs1569328-G	3E-9	(EA)	0.83	1.0843407	-	-	U2,FOS	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	14:75275048	26192919	"Liu JZ"
rs4743820-A	4E-9	(EA)	0.7	1.0660416	-	-	LINC00484,LINC02937	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	9:91166134	26192919	"Liu JZ"
rs17061048-A	5E-9	(EA)	0.95	1.1451334	-	-	LINC00598	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	13:40258875	26192919	"Liu JZ"
rs2284553-G	5E-9	(EA)	0.59	1.061271	-	-	IFNGR2	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	21:33404389	26192919	"Liu JZ"
rs7773324-A	6E-9	(EA)	0.6	1.0637687	-	-	DUSP22,IRF4	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	6:382559	26192919	"Liu JZ"
rs9358372-G	6E-9	(EA)	0.3668	1.0623451	-	[1.04-1.08]	CDKAL1	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	6:20812357	26192919	"Liu JZ"
rs2274351-?	7E-9	(EA)	NR	-	-	-	SUFU	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	10:102504350	26192919	"Liu JZ"
rs10051722-A	9E-9	(EA)	0.7	1.0635655	-	-	HINT1,ARL2BPP4	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	5:130768383	26192919	"Liu JZ"
rs34856868-G	1E-8	(EA)	0.97	1.2156452	-	-	BTBD8	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	1:92088726	26192919	"Liu JZ"
rs10142466-?	1E-8	(EA)	NR	-	-	-	MAGOH3P,ZFP36L1	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	14:68805067	26192919	"Liu JZ"
rs17119-A	2E-11	(EA)	0.81	1.0868671	-	-	RNU6-793P,RPL6P17	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	6:14719265	26192919	"Liu JZ"
rs2538470-A	3E-11	(EA)	0.3622	1.0698943	-	[1.05-1.09]	RN7SL72P,RPL32P17	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	7:148523356	26192919	"Liu JZ"
rs17780256-A	3E-11	(EA)	0.81	1.0870057	-	-	SLC39A11	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	17:72646784	26192919	"Liu JZ"
rs12103-A	3E-11	(EA)	0.1834	1.0906081	-	[1.06-1.12]	INTS11	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	1:1312114	26192919	"Liu JZ"
rs12585310-?	5E-11	(EA)	NR	-	-	-	RPS21P8,FGFR1OP2P1	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	13:26954210	26192919	"Liu JZ"
rs913678-A	5E-11	(EA)	0.67	1.0716122	-	-	LINC01271,RN7SL636P	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	20:50338887	26192919	"Liu JZ"
rs4703855-G	7E-11	(EA)	0.7	1.0736468	-	-	YBX1P5,PTCD2	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	5:72398072	26192919	"Liu JZ"
rs11708026-?	8E-11	(EA)	NR	-	-	-	SATB1-AS1	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	3:18700310	26192919	"Liu JZ"
rs6074022-G	8E-11	(EA)	0.2503	1.0770855	-	[1.05-1.1]	CD40,RPL13P2	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	20:46111557	26192919	"Liu JZ"
rs13126505-A	1E-10	(EA)	0.06306	1.1371485	-	[1.1-1.18]	BANK1	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	4:101944147	26192919	"Liu JZ"
rs7240004-A	1E-10	(EA)	0.62	1.068784	-	-	CTIF,SMAD7	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	18:48868651	26192919	"Liu JZ"
rs6716753-G	1E-10	(EA)	0.1896	1.0847341	-	[1.06-1.11]	SP140	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	2:230232414	26192919	"Liu JZ"
rs34920465-?	1E-10	(EA)	NR	-	-	-	PPIAP34,ZBTB40	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	1:22373858	26192919	"Liu JZ"
rs423674-C	2E-10	(EA)	0.8	1.0876718	-	-	RMI2	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	16:11279548	26192919	"Liu JZ"
rs11187157-?	2E-10	(EA)	NR	-	-	-	Y_RNA,EXOC6	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	10:92742487	26192919	"Liu JZ"
rs7556897-A	2E-10	(EA)	0.66	1.0683979	-	-	SNRPGP8,CCL20	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	2:227795396	26192919	"Liu JZ"
rs71559680-G	2E-10	(EA)	0.53	1.0647465	-	-	CDKAL1,LINC00581	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	6:21430497	26192919	"Liu JZ"
rs2688608-?	3E-10	(EA)	NR	-	-	-	PLAU,CAMK2G	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	10:73898591	26192919	"Liu JZ"
rs1990760-?	4E-10	(EA)	NR	-	-	-	IFIH1	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	2:162267541	26192919	"Liu JZ"
rs11229555-C	5E-12	(EA)	0.75	1.0819354	-	-	GLYAT	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	11:58641214	26192919	"Liu JZ"
rs6740462-A	6E-12	(EA)	0.74	1.0832434	-	-	LINC02934	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	2:65440138	26192919	"Liu JZ"
rs259964-A	7E-12	(EA)	0.4586	1.0697858	-	[1.05-1.09]	ZNF831	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	20:59249254	26192919	"Liu JZ"
rs2153283-?	2E-11	(EA)	NR	-	-	-	IPMK	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	10:58212538	26192919	"Liu JZ"
rs2050392-?	2E-11	(EA)	NR	-	-	-	NIFKP1,CCND3P1	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	10:30402574	26192919	"Liu JZ"
rs2297559-?	2E-11	(EA)	NR	-	-	-	ITLN1	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	1:160884736	26192919	"Liu JZ"
rs7547569-?	2E-170	(EA)	NR	-	-	-	RNU4ATAC4P,IL23R	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	1:67265685	26192919	"Liu JZ"
rs13300218-G	7E-20	(EA)	0.9	1.1674234	-	-	NOTCH1	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	9:136505189	26192919	"Liu JZ"
rs72634258-?	1E-19	(EA)	NR	-	-	-	ERRFI1-DT	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	1:8090578	26192919	"Liu JZ"
rs2024092-A	1E-18	(EA)	0.2162	1.1127257	-	[1.09-1.14]	SBNO2	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	19:1124032	26192919	"Liu JZ"
rs116392568-G	2E-18	(EA)	0.3529	1.0993203	-	[1.08-1.12]	HLA-B,LINC02571	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	6:31306603	26192919	"Liu JZ"
rs12627970-G	2E-18	(EA)	0.2081	1.1155151	-	[1.09-1.14]	RPL3,SYNGR1	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	22:39325740	26192919	"Liu JZ"
rs4676410-?	4E-18	(EA)	NR	-	-	-	GPR35	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	2:240624322	26192919	"Liu JZ"
rs9868809-A	8E-18	(EA)	0.1036	1.14707	-	[1.12-1.18]	CELSR3	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	3:48643620	26192919	"Liu JZ"
rs2179070-?	9E-18	(EA)	NR	-	-	-	TRAF3IP2-AS1,TRAF3IP2	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	6:111564549	26192919	"Liu JZ"
rs4845604-G	1E-17	(EA)	0.85	1.1315535	-	-	RORC	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	1:151829204	26192919	"Liu JZ"
rs444210-?	2E-17	(EA)	NR	-	-	-	RNASET2,MIR3939	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	6:166976754	26192919	"Liu JZ"
rs55808324-?	5E-17	(EA)	NR	-	-	-	GALC	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	14:87978408	26192919	"Liu JZ"
rs11641016-?	1E-16	(EA)	NR	-	-	-	LINC02132,LINC01082	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	16:85981275	26192919	"Liu JZ"
rs10956252-?	2E-16	(EA)	NR	-	-	-	LINC02964,TRIB1	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	8:125523895	26192919	"Liu JZ"
rs12720356-C	4E-16	(EA)	0.08572	1.1598983	-	[1.12-1.2]	TYK2	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	19:10359299	26192919	"Liu JZ"
rs2488397-?	5E-16	(EA)	NR	-	-	-	DENND1B	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	1:197732149	26192919	"Liu JZ"
rs13300483-A	6E-16	(EA)	0.2394	1.0976037	-	[1.08-1.12]	DELEC1	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	9:114881082	26192919	"Liu JZ"
rs78487399-?	8E-16	(EA)	NR	-	-	-	THADA	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	2:43582208	26192919	"Liu JZ"
rs3764147-G	9E-16	(EA)	0.2297	1.099218	-	[1.08-1.12]	LACC1	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	13:43883789	26192919	"Liu JZ"
rs7097656-G	1E-15	(EA)	0.8	1.1044418	-	-	TSPAN14	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	10:80491075	26192919	"Liu JZ"
rs4380874-A	2E-15	(EA)	0.4093	1.0839795	-	[1.06-1.1]	PIGCP2,DLD	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	7:107839870	26192919	"Liu JZ"
rs4768236-C	2E-15	(EA)	0.3295	1.0849894	-	[1.06-1.11]	LRRK2	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	12:40362670	26192919	"Liu JZ"
rs11677953-?	3E-15	(EA)	NR	-	-	-	ARPC2,GPBAR1	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	2:218256940	26192919	"Liu JZ"
rs2279990-?	3E-15	(EA)	NR	-	-	-	FOSL2	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	2:28413873	26192919	"Liu JZ"
rs1003342-?	3E-15	(EA)	NR	-	-	-	HORMAD2	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	22:30174033	26192919	"Liu JZ"
rs1842076-A	4E-15	(EA)	0.72	1.090434	-	-	LINC00604,KRT18P56	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	5:40236916	26192919	"Liu JZ"
rs6880778-?	5E-65	(EA)	NR	-	-	-	RNU1-150P,TTC33	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	5:40398994	26192919	"Liu JZ"
rs10748781-?	2E-63	(EA)	NR	-	-	-	GOT1-DT,LINC01475	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	10:99523573	26192919	"Liu JZ"
rs113653754-C	3E-58	(EA)	0.73	1.213039	-	-	HLA-DQB1,HLA-DQA1	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	6:32658495	26192919	"Liu JZ"
rs4077515-?	1E-53	(EA)	NR	-	-	-	CARD9	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	9:136372044	26192919	"Liu JZ"
rs10761659-G	5E-53	(EA)	0.54	1.1662705	-	-	LINC02929,ALDH7A1P4	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	10:62685804	26192919	"Liu JZ"
rs9836291-?	1E-52	(EA)	NR	-	-	-	BSN	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	3:49660026	26192919	"Liu JZ"
rs11236797-?	9E-52	(EA)	NR	-	-	-	EMSY,LINC02757	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	11:76588605	26192919	"Liu JZ"
rs3024493-?	2E-50	(EA)	NR	-	-	-	IL10	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	1:206770623	26192919	"Liu JZ"
rs56167332-A	7E-50	(EA)	0.3375	1.1686567	-	[1.15-1.19]	IL12B,LINC01845	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	5:159400761	26192919	"Liu JZ"
rs2836883-?	3E-48	(EA)	NR	-	-	-	LINC02940,RPL23AP12	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	21:39094818	26192919	"Liu JZ"
rs75900472-C	5E-48	(EA)	0.3496	1.160397	-	[1.14-1.18]	HNRNPA1P41,JAK2	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	9:4981601	26192919	"Liu JZ"
rs35730213-?	8E-45	(EA)	NR	-	-	-	INAVA	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	1:200905101	26192919	"Liu JZ"
rs4795397-?	8E-44	(EA)	NR	-	-	-	ZPBP2,IKZF3	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	17:39867492	26192919	"Liu JZ"
rs56399423-?	4E-43	(EA)	NR	-	-	-	SLC22A4,MIR3936HG	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	5:132336964	26192919	"Liu JZ"
rs17622378-G	1E-42	(EA)	0.4186	1.1465615	-	[1.13-1.17]	IRF1,IRF1-AS1	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	5:132442760	26192919	"Liu JZ"
rs12994997-A	3E-41	(EA)	0.53	1.1429542	-	-	ATG16L1	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	2:233264857	26192919	"Liu JZ"
rs12946510-A	2E-39	(EA)	0.4675	1.1405234	-	[1.12-1.16]	IKZF3,GRB7	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	17:39756124	26192919	"Liu JZ"
rs2143178-?	5E-38	(EA)	NR	-	-	-	RPL3,PDGFB	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	22:39264824	26192919	"Liu JZ"
rs10800309-?	6E-37	(EA)	NR	-	-	-	RNU6-481P,FCGR2A	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	1:161502368	26192919	"Liu JZ"
rs7608910-G	3E-36	(EA)	0.3909	1.1347865	-	[1.12-1.15]	PUS10	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	2:60977721	26192919	"Liu JZ"
rs6426833-A	3E-36	(EA)	0.54	1.1322339	-	-	RNF186-AS1,OTUD3	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	1:19845367	26192919	"Liu JZ"
rs1801274-A	9E-36	(EA)	0.5	1.1334659	-	-	FCGR2A	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	1:161509955	26192919	"Liu JZ"
rs7848647-?	3E-35	(EA)	NR	-	-	-	TNFSF15,DELEC1	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	9:114806766	26192919	"Liu JZ"
rs6062496-?	2E-33	(EA)	NR	-	-	-	RTEL1-TNFRSF6B,TNFRSF6B	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	20:63697746	26192919	"Liu JZ"
rs6556412-A	1E-32	(EA)	0.326	1.1336317	-	[1.11-1.15]	LINC01845,IL12B	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	5:159360377	26192919	"Liu JZ"
rs1363907-A	5E-15	(EA)	0.4212	1.084916	-	[1.06-1.11]	ERAP2	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	5:96917099	26192919	"Liu JZ"
rs6933404-?	6E-15	(EA)	NR	-	-	-	LINC03004,BTF3L4P3	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	6:137638098	26192919	"Liu JZ"
rs2395022-?	9E-15	(EA)	NR	-	-	-	KPNA7,SMURF1	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	7:99152756	26192919	"Liu JZ"
rs1260326-A	1E-14	(EA)	0.4059	1.080162	-	[1.06-1.1]	GCKR	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	2:27508073	26192919	"Liu JZ"
rs11641184-A	1E-14	(EA)	0.4762	1.0803548	-	[1.06-1.1]	LITAF	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	16:11610795	26192919	"Liu JZ"
rs17694108-A	1E-14	(EA)	0.2797	1.089548	-	[1.07-1.11]	CEBPA,SLC7A10	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	19:33240645	26192919	"Liu JZ"
rs6920220-A	1E-14	(EA)	0.2086	1.0993968	-	[1.08-1.12]	LINC03004	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	6:137685367	26192919	"Liu JZ"
rs11230563-G	2E-14	(EA)	0.65	1.0845813	-	-	CD6	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	11:61008737	26192919	"Liu JZ"
rs449454-?	2E-14	(EA)	NR	-	-	-	NDFIP1	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	5:142153497	26192919	"Liu JZ"
rs3776414-?	3E-14	(EA)	NR	-	-	-	DAP	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	5:10689450	26192919	"Liu JZ"
rs12718244-A	3E-14	(EA)	0.4081	1.079147	-	[1.06-1.1]	SPATA48	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	7:50136058	26192919	"Liu JZ"
rs1517352-C	4E-14	(EA)	0.6	1.0809946	-	-	STAT4	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	2:191066738	26192919	"Liu JZ"
rs6708413-G	9E-14	(EA)	0.2376	1.0917488	-	[1.07-1.11]	IL18RAP	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	2:102446909	26192919	"Liu JZ"
rs516246-A	1E-13	(EA)	0.4652	1.0784879	-	[1.06-1.1]	FUT2	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	19:48702915	26192919	"Liu JZ"
rs2328546-?	1E-13	(EA)	NR	-	-	-	CDKAL1	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	6:20657114	26192919	"Liu JZ"
rs7657746-A	2E-13	(EA)	0.76	1.0907376	-	-	BLTP1	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	4:122240464	26192919	"Liu JZ"
rs2266961-?	3E-13	(EA)	NR	-	-	-	UBE2L3	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	22:21574308	26192919	"Liu JZ"
rs559928-G	3E-13	(EA)	0.81	1.098986	-	-	LINC02723,RPS6KA4	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	11:64382898	26192919	"Liu JZ"
rs1456896-A	3E-13	(EA)	0.69	1.0815443	-	-	IKZF1,SPATA48	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	7:50264865	26192919	"Liu JZ"
rs9557207-?	4E-13	(EA)	NR	-	-	-	UBAC2	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	13:99384164	26192919	"Liu JZ"
rs941823-G	6E-13	(EA)	0.75	1.0865605	-	-	LINC00598	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	13:40439840	26192919	"Liu JZ"
rs3742130-G	9E-13	(EA)	0.78	1.0902634	-	-	UBAC2,GPR18	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	13:99255087	26192919	"Liu JZ"
rs1292053-G	1E-12	(EA)	0.442	1.0726192	-	[1.05-1.09]	TUBD1	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	17:59886176	26192919	"Liu JZ"
rs4976646-G	3E-12	(EA)	0.3415	1.0757427	-	[1.06-1.1]	RGS14	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	5:177361569	26192919	"Liu JZ"
rs12722515-C	5E-12	(EA)	0.84	1.1039582	-	-	IL2RA	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	10:6039267	26192919	"Liu JZ"
rs1505992-A	7E-32	(EA)	0.68	1.1339794	-	-	RNU1-150P,TTC33	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	5:40498475	26192919	"Liu JZ"
rs17800987-?	2E-31	(EA)	NR	-	-	-	ZNF300P1	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	5:150943866	26192919	"Liu JZ"
rs1297258-?	5E-30	(EA)	NR	-	-	-	CYCSP42,LINC02920	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST003043	21:15434390	26192919	"Liu JZ"
